WRISTOPID;0;
LOGTITLE;32_2_30.04.2013 11:56:58_2;
LOGNOTES;;
STARTTIME;30.04.2013 13:30:18;
SAMPLEINTERVAL;2;
DURATION;5226.1;
MINALT;538;
MAXALT;542;
MINHR;35;
MAXHR;98;
MAXSPEED;0;
AVGSPEED;0;
AVGCADENCE;0;
AVGHR;48;
MINTEMP;0;
MAXTEMP;0;
TOTASC;0;
TOTDESC;3;
DISTANCE;0;
TRAININGEFFECT;2;
TOTENERGYCONSUMPTION;89;
TOTFATCONSUMPTION;0;
ASCTIME;0;
DSCTIME;0;
HRABOVETIME;0;
HRBELOWTIME;5226;
HRINTIME;0;
MAXVENTILATION;18;
MAXOXYGENCONSUMPTION;8;
MAXBREATHINGFREQUENCY;20;
ACTIVITYID;0;
HRZONE1;100;
HRZONE2;120;
HRZONE3;140;
HRZONE4;160;
HRZONE5;180;
PERSONAL_YEAROFBIRTH;1978;
PERSONAL_LENGTH;180;
PERSONAL_WEIGHT;72;
PERSONAL_SMOKING;0;
PERSONAL_GENDER;1;
PERSONAL_RESTINGHR;0;
PERSONAL_MAXHR;187;
PERSONAL_ACTIVITYCLASS;0;
PERSONAL_MAXBREATHFREQUENCY;0;
PERSONAL_LUNGVOLUME;6;
PERSONAL_MAXVENTILATION;0;
PERSONAL_EPOCLEVEL1;1;
PERSONAL_EPOCLEVEL2;4;
PERSONAL_EPOCLEVEL3;9;
PERSONAL_EPOCLEVEL4;14;
PERSONAL_MAXMET;10.8;
PEAKEPOC;1;
HRLIMITHIGH;165;
HRLIMITLOW;150;
FEELING;2;
MOD_RESTHR;0;
MOD_WEIGHT;72;
LOGTYPE;3;
SAMPLES;
ALTITUDE (m);HEART RATE (bpm);EPOC (ml/kg);VENTILATION (l/min);VO2 (ml/kg/min);ENERGY (kcal);SPEED;CADENCE;TEMPERATURE (C);DISTANCE (m);RESPIRATION RATE (bpm);SECONDS;IBI;CORRECTED;
542;68;0.0196396;14;6;2.11866;0;0;0;0;19;0;832;832;
542;68;0.0196396;14;6;2.11866;0;0;0;0;19;2;904;904;
541;69;0.0235445;14;6;2.12089;0;0;0;0;19;4;904;904;
541;68;0.0274494;14;6;2.12311;0;0;0;0;19;6;846;846;
540;68;0.0313544;14;6;2.12533;0;0;0;0;19;8;876;876;
541;69;0.0352593;14;6;2.12755;0;0;0;0;19;10;906;906;
541;69;0.0430575;14;6;2.13301;0;0;0;0;19;12;820;820;
541;69;0.0469508;14;6;2.13624;0;0;0;0;19;14;831;831;
541;69;0.050844;14;6;2.13947;0;0;0;0;19;16;855;855;
541;69;0.0547373;14;6;2.1427;0;0;0;0;19;18;840;840;
541;69;0.0624836;14;6;2.14651;0;0;0;0;19;20;823;823;
541;69;0.0663366;14;6;2.14709;0;0;0;0;19;22;872;872;
541;68;0.0701896;14;6;2.14766;0;0;0;0;19;24;852;852;
541;68;0.0740426;14;6;2.14824;0;0;0;0;19;26;895;895;
541;68;0.0817084;14;6;2.14936;0;0;0;0;19;28;922;922;
541;68;0.0855213;14;6;2.1499;0;0;0;0;20;30;891;891;
541;68;0.0893341;14;6;2.15045;0;0;0;0;20;32;858;858;
541;68;0.093147;14;6;2.15099;0;0;0;0;20;34;911;911;
541;68;0.100785;14;6;2.15683;0;0;0;0;20;36;912;912;
541;68;0.104611;14;6;2.16213;0;0;0;0;20;38;842;842;
541;68;0.108436;14;6;2.16742;0;0;0;0;20;40;870;870;
542;68;0.112262;14;6;2.17272;0;0;0;0;20;42;878;878;
541;68;0.119955;14;6;2.18593;0;0;0;0;20;44;865;865;
541;68;0.123822;14;6;2.19385;0;0;0;0;20;46;814;814;
541;69;0.12769;14;6;2.20176;0;0;0;0;20;48;873;873;
541;69;0.131558;14;6;2.20968;0;0;0;0;20;50;892;892;
541;69;0.139266;14;6;2.21935;0;0;0;0;20;52;887;887;
541;69;0.143108;14;6;2.22112;0;0;0;0;20;54;835;835;
541;69;0.146949;14;6;2.22288;0;0;0;0;20;56;875;875;
541;69;0.15079;14;6;2.22465;0;0;0;0;20;58;911;911;
541;69;0.158436;14;6;2.22723;0;0;0;0;20;60;851;851;
541;69;0.162241;14;6;2.22804;0;0;0;0;20;62;831;831;
541;69;0.166045;14;6;2.22885;0;0;0;0;20;64;876;876;
541;69;0.16985;14;6;2.22967;0;0;0;0;20;66;896;896;
541;69;0.177549;15;6;2.24239;0;0;0;0;20;68;855;855;
541;69;0.181443;15;6;2.2543;0;0;0;0;20;70;842;842;
541;69;0.185338;15;6;2.26621;0;0;0;0;20;72;905;905;
541;69;0.189232;15;6;2.27812;0;0;0;0;20;74;923;923;
541;70;0.197206;15;6;2.30995;0;0;0;0;20;76;842;842;
541;71;0.201286;15;6;2.32987;0;0;0;0;20;78;885;885;
541;71;0.205366;15;6;2.34979;0;0;0;0;20;80;926;926;
541;72;0.209445;15;6;2.3697;0;0;0;0;20;82;903;903;
541;73;0.217259;15;6;2.36391;0;0;0;0;20;84;874;874;
542;72;0.220992;15;6;2.3382;0;0;0;0;20;86;967;967;
542;71;0.224726;15;6;2.31249;0;0;0;0;20;88;972;972;
542;70;0.228459;15;6;2.28678;0;0;0;0;20;90;887;887;
542;69;0.236124;15;6;2.28203;0;0;0;0;20;92;889;889;
542;68;0.240056;15;6;2.30298;0;0;0;0;20;94;780;780;
541;69;0.243987;15;6;2.32394;0;0;0;0;20;96;760;760;
541;71;0.247919;15;6;2.3449;0;0;0;0;20;98;813;813;
541;72;0.256157;15;6;2.40073;0;0;0;0;20;100;829;829;
540;73;0.260464;15;6;2.4356;0;0;0;0;20;102;765;765;
541;74;0.26477;16;7;2.47047;0;0;0;0;20;104;858;858;
541;75;0.269077;16;7;2.50533;0;0;0;0;20;106;901;901;
541;75;0.27777;16;7;2.55056;0;0;0;0;20;108;865;865;
541;75;0.282157;16;7;2.56092;0;0;0;0;20;110;826;826;
541;75;0.286543;16;7;2.57127;0;0;0;0;20;112;868;868;
541;75;0.29093;16;7;2.58163;0;0;0;0;20;114;900;900;
542;76;0.299736;16;7;2.59858;0;0;0;0;20;116;811;811;
541;76;0.304156;16;7;2.60517;0;0;0;0;20;118;855;855;
541;77;0.308575;16;7;2.61177;0;0;0;0;20;120;885;885;
541;77;0.312995;16;7;2.61836;0;0;0;0;20;122;893;893;
541;78;0.321358;16;7;2.59098;0;0;0;0;20;124;830;830;
541;77;0.325302;15;7;2.55702;0;0;0;0;20;126;909;909;
541;76;0.329245;15;7;2.52305;0;0;0;0;20;128;941;941;
541;75;0.333189;15;7;2.48908;0;0;0;0;19;130;858;858;
541;74;0.340831;15;6;2.43854;0;0;0;0;19;132;909;909;
541;73;0.34453;15;6;2.42198;0;0;0;0;19;134;884;884;
541;73;0.348228;15;6;2.40541;0;0;0;0;19;136;874;874;
542;73;0.351927;15;6;2.38885;0;0;0;0;19;138;886;886;
542;73;0.359224;15;6;2.36754;0;0;0;0;19;140;852;852;
541;73;0.362823;15;6;2.3628;0;0;0;0;19;142;813;813;
542;73;0.366422;15;6;2.35806;0;0;0;0;19;144;864;864;
542;73;0.370021;15;6;2.35332;0;0;0;0;19;146;849;849;
541;73;0.377099;15;6;2.34197;0;0;0;0;19;148;771;771;
541;73;0.380578;15;6;2.33537;0;0;0;0;19;150;792;792;
541;73;0.384057;15;6;2.32876;0;0;0;0;19;152;856;856;
541;73;0.387535;15;6;2.32216;0;0;0;0;19;154;895;895;
541;73;0.394465;15;6;2.31669;0;0;0;0;19;156;846;846;
541;73;0.397916;15;6;2.31783;0;0;0;0;19;158;902;902;
541;73;0.401367;15;6;2.31897;0;0;0;0;19;160;868;868;
541;72;0.404818;15;6;2.32011;0;0;0;0;19;162;802;802;
541;73;0.411969;15;6;2.34553;0;0;0;0;19;164;871;871;
541;73;0.415668;15;6;2.3698;0;0;0;0;19;166;912;912;
541;74;0.419368;15;6;2.39408;0;0;0;0;19;168;833;833;
541;75;0.423067;15;6;2.41836;0;0;0;0;19;170;869;869;
541;75;0.430661;15;7;2.46188;0;0;0;0;19;172;906;906;
541;76;0.434555;15;7;2.48113;0;0;0;0;19;174;936;936;
541;77;0.43845;15;7;2.50038;0;0;0;0;19;176;830;830;
541;77;0.442344;15;7;2.51963;0;0;0;0;19;178;848;848;
542;77;0.450458;16;7;2.56767;0;0;0;0;19;180;747;747;
542;77;0.454678;16;7;2.59646;0;0;0;0;19;182;766;766;
542;78;0.458898;16;7;2.62525;0;0;0;0;19;184;842;842;
