Timestamp,Pupil_Size_Right,Pupil_Size_Left,UTC_Time
3388.303955078125,3.4471347332000732,3.0715620517730713,2024-11-04T17:45:49.086718
3388.31201171875,3.4581010341644287,3.0673420429229736,2024-11-04T17:45:49.093721
3388.320068359375,3.4601786136627197,3.0704057216644287,2024-11-04T17:45:49.107715
3388.328125,3.4559450149536133,3.0820584297180176,2024-11-04T17:45:49.110719
3388.3359375,3.455073595046997,3.093256711959839,2024-11-04T17:45:49.117721
3388.343994140625,3.454806327819824,3.0992133617401123,2024-11-04T17:45:49.126718
3388.35205078125,3.4446961879730225,3.0936009883880615,2024-11-04T17:45:49.139724
3388.360107421875,3.4638564586639404,3.086991548538208,2024-11-04T17:45:49.142717
3388.367919921875,3.484208345413208,3.091914653778076,2024-11-04T17:45:49.158717
3388.3759765625,3.498540163040161,3.096266269683838,2024-11-04T17:45:49.160719
3388.384033203125,3.5049281120300293,3.0959184169769287,2024-11-04T17:45:49.166718
3388.39208984375,3.5092225074768066,3.0952539443969727,2024-11-04T17:45:49.181727
3388.400146484375,3.5024752616882324,3.0958375930786133,2024-11-04T17:45:49.181727
3388.407958984375,3.500121831893921,3.1167209148406982,2024-11-04T17:45:49.190086
3388.416015625,3.4893767833709717,3.1341030597686768,2024-11-04T17:45:49.209084
3388.424072265625,3.477778911590576,3.1414754390716553,2024-11-04T17:45:49.211089
3388.43212890625,3.474756956100464,3.1442737579345703,2024-11-04T17:45:49.214091
3388.43994140625,3.471855401992798,3.130490303039551,2024-11-04T17:45:49.222088
3388.447998046875,3.478708267211914,3.0966269969940186,2024-11-04T17:45:49.237091
3388.4560546875,3.489590883255005,3.1038336753845215,2024-11-04T17:45:49.239095
3388.464111328125,3.4945943355560303,3.1086466312408447,2024-11-04T17:45:49.251087
3388.47216796875,3.4919776916503906,3.115992784500122,2024-11-04T17:45:49.254088
3388.47998046875,3.4894964694976807,3.129923105239868,2024-11-04T17:45:49.263088
3388.488037109375,3.503523111343384,3.1373443603515625,2024-11-04T17:45:49.279094
3388.49609375,3.5091354846954346,3.1209142208099365,2024-11-04T17:45:49.280096
3388.504150390625,3.5244059562683105,3.1278347969055176,2024-11-04T17:45:49.286631
3388.511962890625,3.5352673530578613,3.135756015777588,2024-11-04T17:45:49.306615
3388.520263671875,3.546983003616333,3.14422607421875,2024-11-04T17:45:49.307619
3388.528076171875,3.538045644760132,3.148242473602295,2024-11-04T17:45:49.315614
3388.5361328125,3.5253143310546875,3.1553587913513184,2024-11-04T17:45:49.324618
3388.5439453125,3.525744676589966,3.167105197906494,2024-11-04T17:45:49.326615
3388.552001953125,3.5230798721313477,3.1683285236358643,2024-11-04T17:45:49.334615
3388.56005859375,3.527416467666626,3.1666791439056396,2024-11-04T17:45:49.354613
3388.568115234375,3.5440213680267334,3.167414426803589,2024-11-04T17:45:49.356619
3388.575927734375,3.5592010021209717,3.1737277507781982,2024-11-04T17:45:49.359614
3388.583984375,3.567333936691284,3.1619865894317627,2024-11-04T17:45:49.366616
3388.592041015625,3.5728538036346436,3.1662890911102295,2024-11-04T17:45:49.387141
3388.60009765625,3.566652774810791,3.176823139190674,2024-11-04T17:45:49.390139
3388.60791015625,3.562591791152954,3.1822102069854736,2024-11-04T17:45:49.391141
3388.615966796875,3.5614559650421143,3.187507152557373,2024-11-04T17:45:49.406140
3388.6240234375,3.5564987659454346,3.189448118209839,2024-11-04T17:45:49.407139
3388.632080078125,3.556781530380249,3.1785285472869873,2024-11-04T17:45:49.414142
3388.64013671875,3.558438777923584,3.1727139949798584,2024-11-04T17:45:49.431143
3388.64794921875,3.5524742603302,3.1742913722991943,2024-11-04T17:45:49.432142
3388.656005859375,3.546579599380493,3.182523250579834,2024-11-04T17:45:49.442146
3388.6640625,3.5432839393615723,3.1948835849761963,2024-11-04T17:45:49.451142
3388.672119140625,3.538729667663574,3.1912670135498047,2024-11-04T17:45:49.457140
3388.679931640625,3.5496740341186523,3.192657947540283,2024-11-04T17:45:49.462140
3388.68798828125,3.5561044216156006,3.201580047607422,2024-11-04T17:45:49.474145
3388.696044921875,3.55232834815979,3.207578659057617,2024-11-04T17:45:49.479146
3388.7041015625,3.5544049739837646,3.2015419006347656,2024-11-04T17:45:49.493661
3388.7119140625,3.557119607925415,3.1911978721618652,2024-11-04T17:45:49.495669
3388.719970703125,3.550300121307373,3.170012950897217,2024-11-04T17:45:49.516664
3388.72802734375,3.5473575592041016,3.169687032699585,2024-11-04T17:45:49.518664
3388.736083984375,3.5469305515289307,3.1806857585906982,2024-11-04T17:45:49.519664
3388.744140625,3.545814275741577,3.1944758892059326,2024-11-04T17:45:49.527663
3388.751953125,3.5597453117370605,3.207853317260742,2024-11-04T17:45:49.534660
3388.760009765625,3.575615167617798,3.220639705657959,2024-11-04T17:45:49.542668
3388.76806640625,3.5782549381256104,3.216461181640625,2024-11-04T17:45:49.549662
3388.776123046875,3.586127281188965,3.2107861042022705,2024-11-04T17:45:49.565665
3388.783935546875,3.5901906490325928,3.225111722946167,2024-11-04T17:45:49.567674
3388.7919921875,3.5918636322021484,3.2337543964385986,2024-11-04T17:45:49.581678
3388.800048828125,3.622300148010254,3.241872787475586,2024-11-04T17:45:49.589951
3388.80810546875,3.6309266090393066,3.238734722137451,2024-11-04T17:45:49.590946
3388.816162109375,3.6352334022521973,3.2068474292755127,2024-11-04T17:45:49.597941
3388.823974609375,3.642693042755127,3.213364601135254,2024-11-04T17:45:49.609952
3388.83203125,3.653447389602661,3.2282919883728027,2024-11-04T17:45:49.613941
